dataset,code,base_rate,disagreement_rate,AC1
chemistry,process,0.315,0.36,0.3666989181106518
chemistry,plan,0.2025,0.19499999999999995,0.7119698676169199
chemistry,act,0.255,0.31999999999999995,0.4839125876945408
chemistry,wrong,0.1825,0.135,0.8075860963138485
tutoring,Greeting,0.032640949554896145,0.047477744807121636,0.9493218793762982
tutoring,Instruction,0.2314540059347181,0.13649851632047483,0.7881227362810086
tutoring,Guiding feedback,0.2789317507418398,0.41543026706231456,0.3050011048096044
tutoring,Aligning to prior knowledge,0.07863501483679525,0.06824925816023741,0.9201853520401596
tutoring,Understanding/Engagement-Tutor,0.17804154302670624,0.1483679525222552,0.7902376476739409
tutoring,Technical or Logistics,0.03412462908011869,0.014836795252225476,0.9841161360262061
tutoring,Encouragement,0.050445103857566766,0.047477744807121636,0.9474919416880094
tutoring,Time Management,0.010385756676557863,0.008902077151335286,0.990911093230967
