dataset,code,n_utterances,disagreement_rate,CI_low,CI_high
chemistry,process,200,0.36,0.294875,0.425
chemistry,plan,200,0.195,0.14,0.25
chemistry,act,200,0.32,0.255,0.39
chemistry,wrong,200,0.135,0.09,0.185
tutoring,Greeting,337,0.04747774480712166,0.026706231454005934,0.0712166172106825
tutoring,Instruction,337,0.13649851632047477,0.10089020771513353,0.17507418397626112
tutoring,Guiding feedback,337,0.41543026706231456,0.3620178041543027,0.4688427299703264
tutoring,Aligning to prior knowledge,337,0.06824925816023739,0.04154302670623145,0.09792284866468842
tutoring,Understanding/Engagement-Tutor,337,0.14836795252225518,0.11275964391691394,0.18694362017804153
tutoring,Technical or Logistics,337,0.01483679525222552,0.002967359050445104,0.02967359050445104
tutoring,Encouragement,337,0.04747774480712166,0.026706231454005934,0.0712166172106825
tutoring,Time Management,337,0.008902077151335312,0.0,0.020771513353115726
