code,dataset,behaviors,base_rate,disagreement_rate,robust_disagreement
process,chem,2,0.315,0.36,0.6333010818893482
plan,chem,1,0.2025,0.19499999999999995,0.28803013238308006
act,chem,2,0.255,0.31999999999999995,0.5160874123054592
wrong,chem,1,0.1825,0.135,0.19241390368615152
Greeting,tut,1,0.032640949554896145,0.047477744807121636,0.050678120623701806
Instruction,tut,1,0.2314540059347181,0.13649851632047483,0.2118772637189914
Guiding feedback,tut,2,0.2789317507418398,0.41543026706231456,0.6949988951903956
Aligning to prior knowledge,tut,1,0.07863501483679525,0.06824925816023741,0.07981464795984039
Understanding/Engagement-Tutor,tut,1,0.17804154302670624,0.1483679525222552,0.2097623523260591
Encouragement,tut,1,0.050445103857566766,0.047477744807121636,0.05250805831199057
