dataset,code,human_kappa,agent_disagreement_rate,z_human_kappa,z_agent_disagreement_rate
chemistry,act,0.77,0.32,-0.9794668400818389,0.740629955765344
chemistry,process,0.78,0.36,-0.8735785330459643,1.179521781404066
chemistry,plan,0.9,0.195,0.39708115138452893,-0.6309069993556633
chemistry,wrong,1.0,0.135,1.4559642217432731,-1.2892447378137466
tutoring,Greeting,0.85,0.04747774480712166,1.6356967052479048,-0.7541334029155052
tutoring,Instruction,0.66,0.13649851632047477,-0.5076300119734884,-0.058010261762731226
tutoring,Guiding feedback,0.66,0.41543026706231456,-0.5076300119734884,2.123175580515961
tutoring,Aligning to prior knowledge,0.66,0.06824925816023739,-0.5076300119734884,-0.591704669979858
tutoring,Understanding/Engagement-Tutor,0.6,0.14836795252225518,-1.1844700279381397,0.034806157057638606
tutoring,Encouragement,0.8,0.04747774480712166,1.0716633586106965,-0.7541334029155052
